drug,Cross Carmellose Sodium,Cross Povidone,Sodium Starch Glycolate,Low-Substituted Hydroxypropyl Cellulose,Pregelatinized Starch,MCC,Mannitol,Lactose,Di Calcium Phosphate,Sucrose,Sugartab,Eudragit EPO ,Precirol A TO 5 ,Kyron T-114,Aspartame ,Sodium Saccharin,Sucralose,Sodium Stearyl Fumarate,Magnesium Stearate ,Talc,Aerosil ,Polyvinylpyrrolidone (PVP) K- 30 ,Sodium Lauryl Sulphate,Flavour / Mint ,Classification,,actual dt
2,0,8,0,0,0,33.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,32
2,0,0,2,0,0,39.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,150
2,0,0,4,0,0,37.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,68
2,0,0,6,0,0,35.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,60
2,0,0,8,0,0,33.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,54
2,0,0,0,0,0,41.5,50,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,0,0,1,,180
6.25,0,2.5,0,10,0,0,74.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,32
6.25,0,5,0,10,0,0,71.93,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,17
6.25,0,7.5,0,10,0,0,69.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,15
6.25,2.5,0,0,10,0,0,74.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,33
6.25,5,0,0,10,0,0,71.93,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,20
6.25,7.5,0,0,10,0,0,69.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,16
6.25,0,0,2.5,10,0,0,74.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,38
6.25,0,0,5,10,0,0,71.93,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,32
6.25,0,0,7.5,10,0,0,69.43,0,0,0,0,3.13,0,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,26
6.25,0,2.5,0,10,0,0,74.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,32
6.25,0,5,0,10,0,0,71.93,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,24
6.25,0,7.5,0,10,0,0,69.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,22
6.25,2.5,0,0,10,0,0,74.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,34
6.25,5,0,0,10,0,0,71.93,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,28
6.25,7.5,0,0,10,0,0,69.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,26
6.25,0,0,2.5,10,0,0,74.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,38
6.25,0,0,5,10,0,0,71.93,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,1,,31
6.25,0,0,7.5,10,0,0,69.43,0,0,0,0,0,3.13,0,2.5,0,0,0,0.6,0,0.6,0,0,0,0,,24
5,0,1,0,0,0,30,0,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,28.4
5,0,2,0,0,0,30,0,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,22.8
5,0,3,0,0,0,30,0,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,28.1
5,0,1,0,0,0,50,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,19
5,0,2,0,0,0,50,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,15.1
5,0,3,0,0,0,50,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,16.5
5,0,1,0,0,0,70,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,11.4
5,0,2,0,0,0,70,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,11.5
5,0,3,0,0,0,70,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,9.3
25,0,0,5,0,0,10,45,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,31.5
25,0,0,10,0,0,10,40,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,36
25,0,5,0,0,0,10,45,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,21.8
25,0,10,0,0,0,10,40,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,23.4
25,5,0,0,0,0,10,45,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,44
25,10,0,0,0,0,10,40,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,58.4
10,0,2,2,0,0,69.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,1,,45
10,0,2,8,0,0,63.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,0,,23
10,0,4,2,0,0,67.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,0,,21
10,0,4,8,0,0,61.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,0,,18
10,1,2,0,0,0,70.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,1,,58
10,3,2,0,0,0,68.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,1,,32
10,1,4,0,0,0,68.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,0,,17
10,3,4,0,0,0,66.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,0,,13
10,1,0,2,0,0,70.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,0,,22
10,3,0,2,0,0,68.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,0,,11
10,1,0,8,0,0,64.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,0,,14
10,3,0,8,0,0,62.5,10,0,0,0,0,0,0,0,3,0,0,0,0.5,0,1,0,0,2,0,,11
3.01,0,0,8,0,0,42.18,0,42.18,0,0,0,0,0,0,0,0.2,0,0,1,2.43,0.5,0,0,0.5,1,,50
3.01,0,5,0,0,0,43.68,0,43.68,0,0,0,0,0,0,0,0.2,0,0,1,2.43,0.5,0,0,0.5,1,,58
3.01,5,0,0,0,0,43.68,0,43.68,0,0,0,0,0,0,0,0.2,0,0,1,2.43,0.5,0,0,0.5,1,,84
3.01,0,5,8,0,0,39.68,0,39.68,0,0,0,0,0,0,0,0.2,0,0,1,2.43,0.5,0,0,0.5,0,,28
3.01,5,5,0,0,0,41.18,0,41.18,0,0,0,0,0,0,0,0.2,0,0,1,2.43,0.5,0,0,0.5,0,,26
3.01,5,0,8,0,0,39.68,0,39.68,0,0,0,0,0,0,0,0.2,0,0,1,2.43,0.5,0,0,0.5,1,,48
3.01,5,5,8,0,0,37.18,0,37.18,0,0,0,0,0,0,0,0.2,0,0,1,2.43,0.5,0,0,0.5,0,,30
16.67,0,0,4,0,0,0,12.67,16.67,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,60
16.67,0,0,8,0,0,0,16.67,8.67,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,33
16.67,0,0,4,0,0,0,16.67,12.67,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,57
16.67,0,0,6,0,0,0,14.67,12.67,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,45
16.67,0,0,8,0,0,0,12.67,12.67,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30
16.67,0,0,5,0,0,0,12.67,15.67,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,45
16.67,0,0,4,0,0,0,14.67,14.67,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,55
16.67,0,0,6,0,0,0,16.67,10.67,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,48
16.67,0,0,8,0,0,0,14.67,10.67,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,35
83.33,2,0,0,0,0,9.67,0,0,0,0,0,0,0,0,1,0,0,0,2,0.5,0.5,0,0,1,1,,55
83.33,4,0,0,0,0,7.67,0,0,0,0,0,0,0,0,1,0,0,0,2,0.5,0.5,0,0,1,1,,45
83.33,6,0,0,0,0,5.67,0,0,0,0,0,0,0,0,1,0,0,0,2,0.5,0.5,0,0,1,1,,30.3
83.33,8,0,0,0,0,3.67,0,0,0,0,0,0,0,0,1,0,0,0,2,0.5,0.5,0,0,1,0,,28
83.33,10,0,0,0,0,1.67,0,0,0,0,0,0,0,0,1,0,0,0,2,0.5,0.5,0,0,1,0,,30
50,0,0,2,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1,,90
50,0,0,3,0,0,20,24,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1,,85
50,0,0,4,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1,,78
50,0,0,5,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1,,65
50,5,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1,,46
50,0,5,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1,,39
10,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,152
10,0,0,0,0,0,30,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,18
10,0,0,0,0,0,60,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,17
10,3,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,19
10,3,0,0,0,0,30,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,13
10,3,0,0,0,0,60,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,14
10,6,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,21
10,6,0,0,0,0,30,53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,15
10,6,0,0,0,0,60,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,15
20,0,6,0,0,0,0,58.5,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,2,2.5,1,,98.02
20,0,8,0,0,0,0,56.5,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,2,2.5,1,,90.12
20,0,10,0,0,0,0,54.5,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,2,2.5,1,,89.16
20,6,0,0,0,0,0,58.5,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,2,2.5,1,,117.2
20,8,0,0,0,0,0,56.5,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,2,2.5,1,,115.5
20,10,0,0,0,0,0,54.5,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,2,2.5,1,,102.34
20,0,0,6,0,0,0,58.5,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,2,2.5,1,,121.22
20,0,0,8,0,0,0,56.5,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,2,2.5,1,,117.23
20,0,0,10,0,0,0,54.5,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,2,2.5,1,,113.09
25.53,2.13,0,0,0,0,0,46.81,21.28,0,0,0,0,0,0,2.13,0,0,0,1.28,0.85,0,0,0,0,1,,34
25.53,4.26,0,0,0,0,0,44.68,21.28,0,0,0,0,0,0,2.13,0,0,0,1.28,0.85,0,0,0,0,0,,28
25.53,6.38,0,0,0,0,0,42.55,21.28,0,0,0,0,0,0,2.13,0,0,0,1.28,0.85,0,0,0,0,0,,25
25.53,0,0,2.13,0,0,0,46.81,21.28,0,0,0,0,0,0,2.13,0,0,0,1.28,0.85,0,0,0,0,0,,26
25.53,0,0,4.26,0,0,0,44.68,21.28,0,0,0,0,0,0,2.13,0,0,0,1.28,0.85,0,0,0,0,0,,27
25.53,0,0,6.38,0,0,0,42.55,21.28,0,0,0,0,0,0,2.13,0,0,0,1.28,0.85,0,0,0,0,0,,25
